camping_id,camping_name,writer,content,rating,created_date,keyword_가격,keyword_뷰
100133,한별 도그파크,카카오맵사용자,임지완 청결,5,2025-08-01,,
100133,한별 도그파크,카카오맵사용자,좋은 일도 많이 하시는 곳이라 들었습니다. 더욱 번창하시기 빕니다.,5,2025-08-01,3,3
100133,한별 도그파크,카카오맵사용자,반려견과 견주분이 같이 물놀이 할 수있어 좋았습니다. 운동장도 넓어 뛰어놀기 좋고 너무 재밌게 놀았네요^^,5,2025-08-01,,
