camping_id,camping_name,writer,content,rating,created_date,keyword_가격,keyword_뷰,keyword_시설
7956,삼강나루캠핑장,카카오맵사용자,숙소 침구를 교환 하지 않고 재사용 하는듯 하다. 침구에 음식물이 있고 악취가 많이 남.,5,2025-08-01,,,
7956,삼강나루캠핑장,카카오맵사용자,"샤워장, 화장실 청결 및 관리만 조금 신경써 주신다면 또 오고 싶은 멋진곳이 될것같네요",5,2025-08-01,2,2,
7956,삼강나루캠핑장,카카오맵사용자,주변 조용하고 한적하니 좋아요 근데 펜션 건물이 가건물이다보니 다른 사람이 걸어가면 건물이 흔들리는 느낌이 있어요 그리고 수건에서 냄새가 나요 🥲,5,2025-08-01,1,,1
